Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
AA;Hamburg-Altona;Hamburg-Altona;Bf;;DE 14421;0080;2;20081214;;010934;J;N;
AA  G;Hamburg-Altona Gbf;Hmb-Altona Gbf;Bft;;DE 14423;0080;2;20081214;;908650;J;N;
AABG;Agathenburg;Agathenburg;Hp;;DE 10046;0080;2;20081214;;011924;J;N;
AACW;Achterwehr;Achterwehr;Hp;;DE 10031;0080;2;20141214;;106933;J;N;
AADF;Adendorf;Adendorf;Bf;;DE 10040;0080;2;20081214;;011601;J;N;
AAE;Brest-Aspe;Brest-Aspe;NE-Hp;; ;0080;;20081214;;585869;J;N;
AAG;Ascheberg (Holst);Ascheberg/Holst;Bf;;DE 10308;0080;2;20081214;;013664;J;N;
AAGD;Arnis-Grödersby;Arnis-Grödersby;NE-Hp;a.B.; ;0080;;20090401;;100307;N;N;
AAH;Aumühle;Aumühle;Bf;;DE 10369;0080;9;20111211;;685172;J;N;
AAH A;Aumühle Abzw;Aumühle Abzw;Bft Abzw;;DE 10371;0080;9;20111211;;010595;J;N;
AAHG;Ahrensburg-Gartenholz;Ahrensburg-Gh;Hp;;DE 10069;0080;2;20091213;;899401;J;N;
AAHN;Ahrensburg Nord;Ahrensburg Nord;Awanst;;DE 10067;0080;2;20081214;;909500;J;N;
AAHR;Ahrensburg;Ahrensburg;Bf;;DE 10066;0080;2;20081214;;016287;J;N;
AAHRW;Ahrensburg West (Bus);Ahrensburg W Bus;Bush;; ;0080;;20150324;;;N;N;
AAHZ;Altenholz;Altenholz;NE-Bf;a.B.; ;0080;;20090401;;591057;N;N;
AAI;Hamburg Airport;Hamburg Airport;Bf;;DE 14376;0080;9;20090124;;854711;J;N;
AAL;Albersdorf;Albersdorf;Hp Anst;;DE 10087;0080;2;20081214;20161210;014498;J;N;
AAL;Albersdorf;Albersdorf;Hp;;DE 10087;0080;2;20161211;;014498;J;N;
AALA;Alsen Abzw;Alsen Abzw;Abzw;;DE 10126;0080;2;20101212;;107045;N;N;
AALG;Alsen DB-Grenze;Alsen DB-Gr;Gp;;DE 10127;0080;2;20091213;;106888;J;J;
AALH;Hamburg-Allermöhe               (S-Bahn);Allermöhe;Hp;;DE 14420;0080;9;20081214;;399808;J;N;
AALM;Hamburg-Allermöhe;Allermöhe;Abzw;;DE 14419;0080;2;20081214;;245357;J;N;
AALS;Itzehoe Alsen;Alsen;Awanst;;DE 15254;0080;2;20081214;;014969;J;N;
AAMP;Hamburg Anckelmannsplatz;Anckelmannsplatz;Üst;;DE 14378;0080;2;20081214;;304303;J;N;
AAMS;Aumühle (S-Bahn);Aumühle (S-Bahn);Bf;a.B.;DE 10370;0080;9;20140612;;108053;N;N;
AAN;Hamburg-Altona (neu);Hmb-Altona (neu);Bf;Planung; ;0080;2;20160101;;109733;N;N;
AAPL;Apeler;Apeler;NE-Bf;; ;0080;;20130904;;108062;J;N;
AAPS;Apensen;Apensen;NE-Bf;; ;0080;;20090401;;426031;J;N;
AAPSB;Apensen BHE;Apensen BHE;Museum;; ;0080;;20030116;;;N;N;
AAR;Hamburg Rainweg;Rainweg;Abzw;;DE 14409;0080;2;20081214;;017129;J;N;
AARF;Ahrensfelde (Bz Bremen);Ahrensfelde/Brm;NE-Bf;; ;0080;;20081214;;585646;J;N;
AAS;Hamburg-Altona                  (S-Bahn);Altona (S-Bahn);Bf;;DE 14422;0080;9;20090214;;010207;J;N;
AAS O;Hamburg-Ottensen                (S-Bahn);Hmb-Ottensen S-B;Bft;Planung;DE 21565;0080;9;20130905;;108911;N;N;
AASA;Ashausen Abzw;Ashausen Abzw;Abzw;;DE 10314;0080;2;20140814;;107558;J;N;
AASM;Archsum;Archsum;Bush;; ;0080;;19990101;;;;;
AASN;Ashausen;Ashausen;Hp;;DE 10313;0080;2;20140814;;011809;J;N;
AAT;Altengörs;Altengörs;Hp;;DE 10167;0080;2;20081214;;013383;J;N;
AAU;Aukrug;Aukrug;Hp;;DE 10364;0080;2;20081214;;014423;J;N;
AAV;Alveslohe;Alvesloe;NE-Hp;; ;0080;;20120701;;404095;J;N;
AAW;Hamburg Alte Wöhr;Alte Wöhr;Hp;;DE 14377;0080;9;20081214;;011197;J;N;
AAX;Hamburg-Altona ESTW-Z;Hmb-Altona ESTW;BZ;; ;0080;2;20110812;;107284;N;N;
AB;Hamburg-Blankenese;Blankenese;Bf;;DE 14437;0080;9;20081214;;011072;J;N;
ABAA;Basdahl;Basdahl;NE-Hp;; ;0080;;20081214;;585430;J;N;
